Saint ID,Saint,Primary Museum Section,Alternative Museum Sections,Museum Section Tier,Museum Section Confidence,Museum Section Rationale,Museum Section Internal Placement Note,Family ID,Curatorial Family,Family Size,Spiritual regions,Sampradaya,Normalized places
recwoqG8uSC9Va2Vj,"Sri Bupathiraju Venkata Lakshmi Narasimha Raju Garu (Sri Nanna Garu) of ??, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Andhra Pradesh, India"
recPkeRPJmQuWJBSh,"Sri Golagamudi Venkaiah Swami of Golagamudi, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Golagamudi, Andhra Pradesh, India"
recGNdSReai0re5Hu,Sri Hanumath Kali Vara Prasada Babuji Maharaj,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Secondary,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Family FAM-052 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-052,,2,Coastal Andhra,(No Sampradaya),"Sri Kali Vanashram, Bhimavaram, Andhra Pradesh, India"
recZrKDcgmViS9JoV,"Sri Hazrath Kale Masthan Shavali Baba
Avadoota of ?, Andhra Pradesh ",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
recdjx3Sy6RzaRQVI,"Sri Kamesh Maharshi Garu of Kamakshi Pitam, 2kms to Clock tower, Amalapuram, Andhra Pradesh ",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"2kms to Clock tower, Amalapuram, Andhra Pradesh, India"
recO6tszPP3jp6F0m,"Sri Kanakamma Garu of Bharatashramam, 14th line, A.T.Agraharam, Guntur, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"A.T.Agraharam, Guntur, Andhra Pradesh, India"
recw4JMQy6FLTjn2p,"Sri Kotta Ramakotaiah of Chinakakani, Mangalagiri, Guntur, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Coastal Andhra,(No Sampradaya),"Guntur, Andhra Pradesh, India"
recKK1KWt4QYdAmcU,Sri Mata Jyotirmayanda Barathi of Andhra Pradesh,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Andhra Pradesh, India"
recpVMZF5kNJtG2cL,"Sri Mata Sugnananda Giri Swami of Bharathi Gitashramam, Mamidipalli Village, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
recovm4yzDT5NMPN5,"Sri Narasimha Bhakta Keer of Chilakalapudi, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Chilakalapudi, Andhra Pradesh, India"
rec50s7fYDU1tXOHq,"Sri Nirvikalpanandagiri Swami of Sheshachala Ashrama, Nehrunagar, Guntur, Andhra Pradesh ",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Coastal Andhra,(No Sampradaya),"Guntur, Andhra Pradesh, India"
recCNbMlJpZj6ddZ2,"Sri Pelluri Venkat Seetaramanjaneya Sharma of Purvashram, near Veera Brahmendra Swami Samadhi, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
rec5GvGX2G8pL2JKX,"Sri Potuluri Veerabrahmendhra Swami Varu of Brahmamgari Matam, Kadapa, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Featured,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Explicit archivalist featured saint override: Sri Potuluri Veerabrahmendhra Swami. Tier proposed as Featured because the record appears to anchor or lead a family cluster.,Family FAM-064 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-064,,2,Andhra Pradesh General,(No Sampradaya),"Kadapa, Andhra Pradesh, India"
recutsIc9XZrXmzXY,Sri Prabarkar Garu of Andhra Pradesh,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Secondary,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Family FAM-038 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-038,,2,Andhra Pradesh General,(No Sampradaya),"Andhra Pradesh, India"
recdzV5EUGaiuIsEp,"Sri Prasad Raju Swamiji of Vasishta Ashram, Antarvedi, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Vasishta Ashram, Antarvedi, Andhra Pradesh, India"
recnN6SjH1pOAAXtj,"Sri Prasad Raju Swamiji of VasishtaAshram, Antarvedi, Sakhinetipalle, Konaseema, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
rec4mpxiy1KBLcdY7,"Sri Rachakonda Venkata Narasimha Sharma of Duvva, Tanuku, West Godavari, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
rec4236mnDNEehcyU,"Sri Ragam Rama Pitchaiah Garu of Sri Ramanama Kshetram, Guntur, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Coastal Andhra,(No Sampradaya),"Guntur, Andhra Pradesh, India"
recKXywibOANlUi7r,"Sri Ramyananda Bharathi Swamini of Guntur, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Secondary,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Family FAM-068 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-068,,2,Coastal Andhra,(No Sampradaya),"Guntur, Andhra Pradesh, India"
recJpcbax5r8RD2NR,"Sri Rangaiah Swami of Kummara Palli, Jettivaripalle Road, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
recDXz1rB8pmUAiM9,"Sri Sadwi Pushpamata of Kaikalur, Krishna district, Eluru, near Guntur, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Secondary,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Family FAM-069 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-069,,2,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
recKSXq8hAFlVJpnl,"Sri Siddha Datta Avadhoota of Malleswaram, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Malleswaram, Andhra Pradesh, India"
recvsfoIEOsRMKMsv,"Sri Siddha Datta Avadoota of Malleswaram, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Secondary,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Family FAM-072 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-072,,2,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
rec1tbLaeSzcd2o2S,"Sri Siddhaiah Swami of near Paluguvallapalle, Kadapa district, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Secondary,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Family FAM-064 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-064,,2,Andhra Pradesh General,(No Sampradaya),"Kadapa, Andhra Pradesh, India"
recds79Q1Tt4TrJeV,"Sri Siddheswarananda Bharati Swami of Guntur, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Secondary,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Family FAM-068 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-068,,2,Coastal Andhra,(No Sampradaya),"Guntur, Andhra Pradesh, India"
recouEy9jFx0IXGrV,"Sri Sitaram of Pedamuttevi, Movva, Krishna, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
recksq8naSc1M7D2E,"Sri Sri Krishna Paramahamsa Swami of Malleswaram, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Malleswaram, Andhra Pradesh, India"
recmn633G3pzYKcYx,"Sri Sri Krishna Paramahamsa Swami of Malleswaram, near Siddantam, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Secondary,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Family FAM-072 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-072,,2,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
rec6apxyRTbvB8uHO,"Sri Sri Sri Avatar Digambar Bhagavan Ramakrishnananda of Nellore, Andhra Pradesh ",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Coastal Andhra,(No Sampradaya),"Nellore, Andhra Pradesh, India"
reckQmTmjq7q6zGQO,"Sri Sri Sri Shiva Satya Balayogi Swami ji of Kondangi Ashram, Kaikalur, Krishna district, Eluru, (near Guntur) Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Secondary,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Family FAM-069 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-069,,2,Andhra Pradesh General,(No Sampradaya),"Kaikalur, Andhra Pradesh, India"
recwijd8VEEsovtX9,"Sri Sriman Samardha Ragam Anjaneyulu Garu of Sri Ramanama Kshetram, Guntur",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Coastal Andhra,(No Sampradaya),"Guntur, Andhra Pradesh, India"
recM8jWqlj13XuHnV,Sri Sugunamba Lakshminarayana Maa of Vijayawada Andhra Pradesh,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Coastal Andhra,(No Sampradaya),"Vijayawada, Andhra Pradesh, India"
rec3mQlWpwjgaz5ml,Sri Swami Chidananda Saraswati of Vijaywada,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Coastal Andhra,(No Sampradaya),"Vijayawada, Andhra Pradesh, India"
recX1z3jvuyqrFX11,Sri Swami Gyaanaprasana of Andhra Pradesh ,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Andhra Pradesh, India"
recETDj9Y5smnAYD8,"Sri Swami Jyanananda of Goraganamudi, Near Bhimavaram, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Goraganamudi, Near Bhimavaram, Andhra Pradesh, India"
rech5MQ4nOMgkH1FL,"Sri Swami Kaleshwar of Penukonda, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
recUgMlKqOJS67J7l,Sri Swami Nagananda of Bukkapatnam,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Bukkapatnam, Andhra Pradesh, India"
recefZSqfNauGblTk,"Sri Swami Vasudevananda Giri of Rajeswari Peetam, Pedapulipaaka, Vijayawada, Penamaluru Mandal, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Coastal Andhra,(No Sampradaya),"Vijayawada, Andhra Pradesh, India"
rec0HQJdjNnHKOmq3,Sri Visuddhananda Saraswathi Garu of Andhra Pradesh,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Andhra Pradesh, India"
rec1WWN7Xb1ZRGGhA,Yogini Sri Chandra Kali Prasad Mataji ,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Secondary,Medium,Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Family FAM-052 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-052,,2,Coastal Andhra,(No Sampradaya),"Sri Kali Vanashram, Bhimavaram, Andhra Pradesh, India"
recZbwL1wz3gD9B70,Khandro Tsering Chödron of Tibet ,"Bengal Shakta, Baul & Modern Saints",Needs Research,Tertiary,Medium,"Spiritual region maps to Bengal Shakta, Baul & Modern Saints. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,South Asia,(No Sampradaya),Tibet
recedh4xdQxgmUm1g,Paramacharya Jagadguru Sri Sri  Sri Tiruchi Mahaswamigal of Bangalore,"Bengal Shakta, Baul & Modern Saints",Needs Research,Tertiary,Medium,"Spiritual region maps to Bengal Shakta, Baul & Modern Saints. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Bengaluru Spiritual Sphere,(No Sampradaya),"Bengaluru, Karnataka, India"
rec2Xmz15pP16n1dR,Paramahamsa Sri Swami Nigammananda ji Saraswati Deva of Calcutta,"Bengal Shakta, Baul & Modern Saints",Jagannath-Puri & Odisha,Secondary,High,"Sampradaya maps directly to Bengal Shakta, Baul & Modern Saints. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.",Family FAM-031 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-031,,2,"Kolkata Spiritual Sphere
Jagannath-Puri Tradition
South Asia","Tantra,Jnana
Shankaracharya Sampradaya","Kolkata, West Bengal, India
Nilachal Math, Puri, Odisha, India
Kutabpur, Bangladesh"
recC3zchheU7N9g2E,Sogyal Rinpoche of Tipet,"Bengal Shakta, Baul & Modern Saints",Needs Research,Tertiary,Medium,"Spiritual region maps to Bengal Shakta, Baul & Modern Saints. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,South Asia,(No Sampradaya),Tibet
rec896V7fs1lwnSkY,Sri (Ishwar) Tota Puri Baba of Punjap/ or Puri/ - wandering monk,"Bengal Shakta, Baul & Modern Saints",Jagannath-Puri & Odisha,Featured,High,Family override from FAM-008 (Sri (Ishwar) Tota Puri Baba Family); family placement takes priority over geography. Tier proposed as Featured because the record appears to anchor or lead a family cluster.,"Organize inside Bengal Shakta, Baul & Modern Saints using FAM-008 family context before geography.",FAM-008,,5,Jagannath-Puri Tradition,Satnami Puri Sampradaya,"Punjab, India
Puri, Odisha, India"
recSYEInZCyvDPkGk,"Sri Abhijeet Roy of Khashbagan, Loknath Ashram, Burdwan","Bengal Shakta, Baul & Modern Saints",Girnar & Nath Traditions,Tertiary,Medium,"Spiritual region maps to Bengal Shakta, Baul & Modern Saints. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Bardhaman Region,(No Sampradaya),"Bardwan, West Bengal, India"
recBVn7Vp9onOO9Bh,Sri Anandamoyi Ma of Bangladesh ,"Bengal Shakta, Baul & Modern Saints",,Featured,High,"Family override from FAM-010 (Sri Anandamoyi Ma Family); family placement takes priority over geography. Explicit archivalist featured saint override: Sri Anandamoyi Ma. Explicit archivalist movement override: Sri Anandamoyi Ma belongs only in Bengal Shakta, Baul & Modern Saints. Tier proposed as Featured because the record appears to anchor or lead a family cluster.","Organize inside Bengal Shakta, Baul & Modern Saints using FAM-010 family context before geography.",FAM-010,,5,South Asia,(No Sampradaya),Bangladesh
recZPkXeFQBUFoa19,"Sri Annada Thakur of Addya Peth/ Chittagong  OR Calcutta? , West Bengal ","Bengal Shakta, Baul & Modern Saints",Needs Research,Tertiary,Medium,"Spiritual region maps to Bengal Shakta, Baul & Modern Saints. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Kolkata Spiritual Sphere,(No Sampradaya),"Kolkata, West Bengal, India"
recDNdUifKDuhAqnc,"Sri Atmanand Das Tyagi (Nepali Baba) of Janakpur, Nepal","Bengal Shakta, Baul & Modern Saints",Needs Research,Tertiary,Medium,"Spiritual region maps to Bengal Shakta, Baul & Modern Saints. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,South Asia,(No Sampradaya),"Dhanusha Dham, Janakpur, Nepal"
recYRhNt8Q2nMaW19,Sri Avadhuta Ramanand Swami of Bangalore,"Bengal Shakta, Baul & Modern Saints",Needs Research,Tertiary,Medium,"Spiritual region maps to Bengal Shakta, Baul & Modern Saints. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Bengaluru Spiritual Sphere,(No Sampradaya),"Bengaluru, Karnataka, India"
recCIuQTzNZY1KNsQ,Sri Baba Bolanath of Bangladesh,"Bengal Shakta, Baul & Modern Saints",Girnar & Nath Traditions,Secondary,High,Family override from FAM-010 (Sri Anandamoyi Ma Family); family placement takes priority over geography. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,"Organize inside Bengal Shakta, Baul & Modern Saints using FAM-010 family context before geography.",FAM-010,,5,South Asia,(No Sampradaya),Bangladesh
recMmZ5qGtbPiHxJz,"Sri Baba Pagla of Ambika Kalna, West Bengal","Bengal Shakta, Baul & Modern Saints",Needs Research,Tertiary,Medium,"Spiritual region maps to Bengal Shakta, Baul & Modern Saints. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,West Bengal General,(No Sampradaya),West Bengal
rec093BrDsvyYbvhP,Sri Bamakhepa Baba of Tarapith ,"Bengal Shakta, Baul & Modern Saints",Needs Research,Secondary,Medium,"Spiritual region maps to Bengal Shakta, Baul & Modern Saints. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.",Family FAM-031 is present but not mapped to a stronger section override; review family tree if this placement feels off.,FAM-031,,2,Shakta Bengal,(No Sampradaya),"Tarapith, West Bengal, India"
