Family ID,Family Size,Proposed Family Label,Label Basis,Label Confidence,Guidance Status,Root Candidates,Dominant Sampradayas,Dominant Spiritual Regions,Rationale
FAM-044,2,Sri Gyaneshwar Family,Senior member,High,,"Sri Gyaneshwar of Alandi, Pune",,"Modern Guru Centers (1), Varkari Heartland (1)","Proposed from the clearest senior/root member: Sri Gyaneshwar of Alandi, Pune."
FAM-045,2,Sri Narayan Das Maharaj Family,Senior member,High,,Sri Narayan Das Maharaj of Kolhapur,,Datta Sampradaya Belt (2),Proposed from the clearest senior/root member: Sri Narayan Das Maharaj of Kolhapur.
FAM-046,2,Sri Gangavarti Family,Senior member,High,,Sri Gangavarti of Bhadrinath,,Char Dham & Upper Himalaya (2),Proposed from the clearest senior/root member: Sri Gangavarti of Bhadrinath.
FAM-047,2,Sri Ganore Baba Family,Senior member - ambiguous roots,Medium,Needs Guidance,"Sri Ganore Baba of Bhukum, near Pune; Sri Sita Mai of Bhukum, near Pune",,Modern Guru Centers (2),Multiple senior/root candidates are present: Sri Ganore Baba; Sri Sita Mai. Proposed label uses the earliest/highest-connectivity candidate.
FAM-048,2,Sri Girinari Baba Family,Senior member,High,,"Sri Girinari Baba of Arail, Naini, Prayagraj",,Prayag Region (2),"Proposed from the clearest senior/root member: Sri Girinari Baba of Arail, Naini, Prayagraj."
FAM-049,2,Sri Swami Narayan Barah Dadaji Siddha Purushadas Family,Senior member,High,,"Sri Swami Narayan Barah Dadaji Siddha Purushadas of Sri Dada Darbar Sidhnath temple, Jodhpur, Rajasthan",Swaminarayan (1),Rajputana Spiritual Centers (2),"Proposed from the clearest senior/root member: Sri Swami Narayan Barah Dadaji Siddha Purushadas of Sri Dada Darbar Sidhnath temple, Jodhpur, Rajasthan."
FAM-050,2,Sri Goswami Tulsidas ji Family,Senior member,High,,"Sri Goswami Tulsidas ji of Tulsi Ghat, Varanasi",Ramanandi Sampradaya (1),"Kashi Region (1), Uttar Pradesh General (1)","Proposed from the clearest senior/root member: Sri Goswami Tulsidas ji of Tulsi Ghat, Varanasi."
FAM-051,2,Sri Gunda Maharaj Family,Senior member,High,,Sri Gunda Maharaj of Pandharpur (Siddha Sihasan Peetha),,Varkari Heartland (2),Proposed from the clearest senior/root member: Sri Gunda Maharaj of Pandharpur (Siddha Sihasan Peetha).
FAM-052,2,Sri Hanumath Kali Vara Prasada Babuji Maharaj Family,Senior member,High,,Sri Hanumath Kali Vara Prasada Babuji Maharaj,,Coastal Andhra (2),Proposed from the clearest senior/root member: Sri Hanumath Kali Vara Prasada Babuji Maharaj.
FAM-053,2,Sri Hum Itho Ikaan Sidap Family,Senior member,High,,Sri Hum Itho Ikaan Sidap of Manipur,,"Assam General (1), Manipur General (1)",Proposed from the clearest senior/root member: Sri Hum Itho Ikaan Sidap of Manipur.
FAM-054,2,Sri Jaganath Das Ji Maharaj Family,Senior member,High,,Sri Jaganath Das Ji Maharaj,Ramanandi Sampradaya (1),Braj Mandal (1),Proposed from the clearest senior/root member: Sri Jaganath Das Ji Maharaj.
FAM-055,2,Sri Jiva Krishnadas Babaji Family,Senior member,High,,"Sri Jiva Krishnadas Babaji of Pathbari Ashram, Calcutta",Gaudiya Vaishnava (2),Kolkata Spiritual Sphere (2),"Proposed from the clearest senior/root member: Sri Jiva Krishnadas Babaji of Pathbari Ashram, Calcutta."
FAM-056,2,Sri Pachale Gaonkar Ji Maharaj Family,Senior member,High,,Sri Pachale Gaonkar Ji Maharaj of Hingoli/Mumbai,,"Modern Guru Centers (1), Nath & Shaiva Maharashtra (1)",Proposed from the clearest senior/root member: Sri Pachale Gaonkar Ji Maharaj of Hingoli/Mumbai.
FAM-057,2,Sri Khappar Baba Family,Senior member,High,,"Sri Khappar Baba of Ahraura, Mirzapur, U.P.",,Kashi Region (2),"Proposed from the clearest senior/root member: Sri Khappar Baba of Ahraura, Mirzapur, U.P.."
FAM-058,2,Sri Krishna Chaitanya Das Babaji Maharaj Family,Senior member,High,,"Sri Krishna Chaitanya Das Babaji Maharaj of Navadwip, West Bengal 19 A",Gopal Bhatta Sampradaya (1),Gaudiya Vaishnava Heartland (2),"Proposed from the clearest senior/root member: Sri Krishna Chaitanya Das Babaji Maharaj of Navadwip, West Bengal 19 A."
FAM-059,2,Sri Krishna Saraswati Datt Maharaj Family,Senior member,High,,Sri Krishna Saraswati Datt Maharaj of Kolhapur,,"Datta Sampradaya Belt (1), Maharashtra General (1)",Proposed from the clearest senior/root member: Sri Krishna Saraswati Datt Maharaj of Kolhapur.
FAM-060,2,Sri Sri 1008 Paramahamsa Kishan Giri Maharaj Family,Senior member,High,,"Sri Sri 1008 Paramahamsa Kishan Giri Maharaj of Bijolai Ashram, near Kailana Lake, Jodhpur, Rajasthan",,Rajputana Spiritual Centers (2),"Proposed from the clearest senior/root member: Sri Sri 1008 Paramahamsa Kishan Giri Maharaj of Bijolai Ashram, near Kailana Lake, Jodhpur, Rajasthan."
FAM-061,2,Sri Ravidas Family,Senior member,High,,Sri Ravidas of Varanasi,,"Kashi Region (1), Rajasthan General (1)",Proposed from the clearest senior/root member: Sri Ravidas of Varanasi.
FAM-062,2,Sri Narendra Kumar Geerjanan Family,Senior member - ambiguous roots,Medium,Needs Guidance,"Sri Narendra Kumar Geerjanan (Dinesh) of Rose Hill Mauritius; Sri Rashmanee Geerjanan (Manee) of Rose Hill, Mauritius",,Global (2),Multiple senior/root candidates are present: Sri Narendra Kumar Geerjanan; Sri Rashmanee Geerjanan. Proposed label uses the earliest/highest-connectivity candidate.
FAM-063,2,Sri Vitthalananda Saraswati Family,Senior member,High,,Sri Vitthalananda Saraswati (Vitthal Babaji) of Pandharpur/ Kurvapur,,"Datta Sampradaya Belt (1), Kumaon Saints (1), Rishikesh-Haridwar Spiritual Corridor (1)",Proposed from the clearest senior/root member: Sri Vitthalananda Saraswati (Vitthal Babaji) of Pandharpur/ Kurvapur.
FAM-064,2,Sri Potuluri Veerabrahmendhra Swami Varu Family,Senior member,High,,"Sri Potuluri Veerabrahmendhra Swami Varu of Brahmamgari Matam, Kadapa, Andhra Pradesh",,Andhra Pradesh General (2),"Proposed from the clearest senior/root member: Sri Potuluri Veerabrahmendhra Swami Varu of Brahmamgari Matam, Kadapa, Andhra Pradesh."
FAM-065,2,Sri Radhikadasji Maharaj Family,Senior member,High,,"Sri Radhikadasji Maharaj of Mari (Paral?), Girnar, Ramji Ashram",,Girnar & Nath Tradition (2),"Proposed from the clearest senior/root member: Sri Radhikadasji Maharaj of Mari (Paral?), Girnar, Ramji Ashram."
FAM-066,2,Sri Sri Vijayandeerar Family,Senior member,High,,Sri Sri Vijayandeerar of Kumbakonam,,Shaiva Siddhanta Heartland (1),Proposed from the clearest senior/root member: Sri Sri Vijayandeerar of Kumbakonam.
FAM-067,2,Sri Ramdas Babaji Family,Senior member,High,,"Sri Ramdas Babaji of Pathbari Ashram, Calcutta",,"Gaudiya Vaishnava Heartland (1), Kolkata Spiritual Sphere (1)","Proposed from the clearest senior/root member: Sri Ramdas Babaji of Pathbari Ashram, Calcutta."
FAM-068,2,Sri Siddheswarananda Bharati Swami Family,Senior member,High,,"Sri Siddheswarananda Bharati Swami of Guntur, Andhra Pradesh",,Coastal Andhra (2),"Proposed from the clearest senior/root member: Sri Siddheswarananda Bharati Swami of Guntur, Andhra Pradesh."
FAM-069,2,Sri Sri Sri Shiva Satya Balayogi Swami ji Family,Senior member,High,,"Sri Sri Sri Shiva Satya Balayogi Swami ji of Kondangi Ashram, Kaikalur, Krishna district, Eluru, (near Guntur) Andhra Pradesh",,Andhra Pradesh General (2),"Proposed from the clearest senior/root member: Sri Sri Sri Shiva Satya Balayogi Swami ji of Kondangi Ashram, Kaikalur, Krishna district, Eluru, (near Guntur) Andhra Pradesh."
FAM-070,2,Om Upasya Sampradaya,Sampradaya-contained,High,,"Sri Tulsidas ji Maharaj of Jodhpur, Rajasthan",Om Upasya Sampradaya (2),Rajputana Spiritual Centers (2),Om Upasya Sampradaya appears concentrated in FAM-070 and covers 2/2 family members.
FAM-071,2,Sri Shivpuri Baba Family,Senior member,High,,"Sri Shivpuri Baba of Kathmandu, Nepal",,South Asia (2),"Proposed from the clearest senior/root member: Sri Shivpuri Baba of Kathmandu, Nepal."
FAM-072,2,Sri Sri Krishna Paramahamsa Swami Family,Senior member,High,,"Sri Sri Krishna Paramahamsa Swami of Malleswaram, near Siddantam, Andhra Pradesh",,Andhra Pradesh General (2),"Proposed from the clearest senior/root member: Sri Sri Krishna Paramahamsa Swami of Malleswaram, near Siddantam, Andhra Pradesh."
FAM-073,2,Avadhoot Sampradaya,Sampradaya-contained,High,,,Avadhoot Sampradaya (2),Gaudiya Vaishnava Heartland (2),Avadhoot Sampradaya appears concentrated in FAM-073 and covers 2/2 family members.
FAM-074,2,Sri Sri Siddha Chaitanya Das Babaji Family,Senior member,High,,Sri Sri Siddha Chaitanya Das Babaji of Navadwip,Gaudiya Vaishnava (2),Gaudiya Vaishnava Heartland (2),Proposed from the clearest senior/root member: Sri Sri Siddha Chaitanya Das Babaji of Navadwip.
FAM-075,2,Sri Srimad Swami Lakshman Ramanuj Family,Senior member,High,,"Sri Srimad Swami Lakshman Ramanuj of Sri Rangam, Phal Hari Jiyarmath",Sri Vaishnava (1),"Kolkata Spiritual Sphere (1), Sri Vaishnava Tradition (1)","Proposed from the clearest senior/root member: Sri Srimad Swami Lakshman Ramanuj of Sri Rangam, Phal Hari Jiyarmath."
FAM-076,2,Sri Sudama Das ji Family,Senior member,High,,Sri Sudama Das ji,Ramanandi Sampradaya (1),Braj Mandal (1),Proposed from the clearest senior/root member: Sri Sudama Das ji.
FAM-077,2,Sri Swami Bhoomanand ji Maharaj Family,Senior member,High,,Sri Swami Bhoomanand ji Maharaj of Uttarkashi,,Char Dham & Upper Himalaya (2),Proposed from the clearest senior/root member: Sri Swami Bhoomanand ji Maharaj of Uttarkashi.
FAM-078,2,Sri Swami Shankar Purushottam Tirth Maharaj Family,Senior member,High,,Sri Swami Shankar Purushottam Tirth Maharaj of Varanasi,,Kashi Region (2),Proposed from the clearest senior/root member: Sri Swami Shankar Purushottam Tirth Maharaj of Varanasi.
FAM-079,2,Sri Vishwaguru Baya Baba Family,Senior member,High,,"Sri Vishwaguru Baya Baba of Sailanga, Cuttack, Orissa",,Coastal Odisha (2),"Proposed from the clearest senior/root member: Sri Vishwaguru Baya Baba of Sailanga, Cuttack, Orissa."
FAM-080,2,Sri Yellaling Maharaj Family,Senior member,High,,Sri Yellaling Maharaj of Mughal Khod,,Veerashaiva / Lingayat Belt (2),Proposed from the clearest senior/root member: Sri Yellaling Maharaj of Mughal Khod.
